address,zip code,INCENTIVE AMOUNT,grant,company
3949 W OGDEN AVE,60623,"41,326.31",41326.30957,"LAWNDALE FOOD WINE & SPIRITS, INC."
4300 S UNION AVE  B,60609,"41,324",41324.36152,TUXEDO JUNCTION INC.
613 W 16TH ST 3RD,60616,"41,322",41322.41347,GRACELAND DEVELOPMENT LTD
6730 N IONIA AVE 1ST,60646,"41,320.47",41320.46542,AMBROSIA HOMES INCORPORATED
542 S DEARBORN ST  560,60605,"41,319",41318.51737,"MICHAELS CHICAGO HOLDING COMPANY, LLC"
3952 N HARLEM AVE 1ST,60634,"41,316.57",41316.56932,"MIDDLE EASTERN MARKET, INC."
4353 W 55TH ST,60632,"41,314.62",41314.62127,A RATHAPPILLIL CORPORATION
1425 W MONTROSE AVE,60613,"41,312.67",41312.67322,NIZARALI & FATEMAH LADHANI INC
1532 W MONTROSE AVE 1ST,60613,"41,310.73",41310.72517,"MONTROSE LIQUORS, INC."
2105 S CHINA PL 1ST A,60616,"41,308.78",41308.77712,"CHINA PLACE LIQUOR CITY, INC."
1851 W IRVING PARK RD,60613,"41,307",41306.82907,TIMBER LANES CORP
1851 W IRVING PARK RD,60613,"41,304.88",41304.88102,TIMBER LANES CORP
2553-2557 W 71ST ST 1,60629,"41,302.93",41302.93297,"Quality Food & Beverage, Inc."
932 W ADDISON ST 1ST,60613,"41,301",41300.98492,932 ADDISION LIQUORS INC.
1631 E 55TH ST,60615,"41,299.04",41299.03687,"MAZEN TRADING, INC."
173 W VAN BUREN ST 1ST,60605,"41,297",41297.08882,MAJESTIC TRADERS INC.
1601 W GARFIELD BLVD,60636,"41,295",41295.14077,"D & A FOOD & LIQUOR, INC."
6701-6703 N CLARK ST 1,60626,"41,293",41293.19272,VISHNA CLARK INCORPORATED
7532 W ADDISON ST 1ST,60634,"41,291",41291.24466,MANSI PATEL INC.
1154 W FULTON MARKET  1,60607,"41,289",41289.29661,1154 FULTON MARKET INC.
317 E 51ST ST  1,60615,"41,287.35",41287.34856,RED APPLE FOOD & LIQUOR INC
2451-2455 W 47TH ST 1,60632,"41,285.40",41285.40051,RON'S DOLLAR PLUS INC.
4701 N WINTHROP AVE  1,60640,"41,283",41283.45246,CHRISTOPHER HOUSE
1415 W IRVING PARK RD 1ST D,60613,"41,281.50",41281.50441,"SAAVI, LTD."
1154 W FULTON MARKET  1,60607,"41,279.56",41279.55636,1154 FULTON MARKET INC.
3435 N SHEFFIELD AVE 2 202,60657,"41,278",41277.60831,JOHN G DEGREGORIO
4540 S PULASKI RD,60632,"41,275.66",41275.66026,IOM INC
2800-2818 W 48TH PL,60632,"41,274",41273.71221,RC TRUCKING #1 INC
4000 N CLARK ST  1,60613,"41,272",41271.76416,ORESTES GARCIA
5659 S RACINE AVE 1,60636,"41,269.82",41269.81611,SHARIF'S FOOD & LIQUORS INC.
4859 N MILWAUKEE AVE,60630,"41,267.87",41267.86806,"YASH CONVENIENCE, INC"
733 W SHERIDAN RD  1,60613,"41,266",41265.92001,"LAKEVIEW FOOD PANTRY, INC."
[REDACTED FOR PRIVACY],60611,"41,264",41263.97196,CLAYTON SCOTT
200 N LAKEFRONT DR 1ST,60601,"41,262",41262.02391,"CAFE MICHELLE, INC."
5530 N MILWAUKEE AVE 1ST,60630,"41,260.08",41260.07586,"SHIV SHAKTI INVESTMENT, INC."
3801 N WESTERN AVE,60618,"41,258",41258.12781,"SANDHYA & SANJAY, INC"
3260 W 55TH ST,60632,"41,256",41256.17976,VERMAR ENTERPRISES INC
7000-7002 W DIVERSEY AVE 1ST,60707,"41,254",41254.23171,LA ESTRELLA MINI MART INC.
314 W SUPERIOR ST  600,60654,"41,252.28",41252.28365,"INVISION COMMUNICATIONS, INC."
3758 S WALLACE ST 1 1000,60609,"41,250.34",41250.3356,WALLY'S LUCKY MART
1658 E 55TH ST,60615,"41,248",41248.38755,"QUICK SNACKS, INC."
200 N LAKEFRONT DR 1ST,60601,"41,246.44",41246.4395,"CAFE MICHELLE, INC."
7200-7206 S WESTERN AVE 1 B,60636,"41,244.49",41244.49145,"72 ND PETROLEUM,INC."
1558 W 69TH ST 1ST,60636,"41,243",41242.5434,"RUDY'S FOOD & LIQUORS, INC."
3930 N PINE GROVE AVE 1ST,60613,"41,241",41240.59535,Parasmai INC
5069 W MADISON ST,60644,"41,239",41238.6473,"DRIP DROP FOOD & LIQUORS, INC"
4023 S ARCHER AVE 1,60632,"41,236.70",41236.69925,"SUPERMERCADO EL GUERO NO.10, INC."
5515 S DAMEN AVE,60636,"41,235",41234.7512,"R.H.A. FOOD & LIQUOR, INC."
2627 N KEDZIE AVE 1,60647,"41,232.80",41232.80315,SMOKE STATION INC.
507 E 130TH ST 1ST,60628,"41,231",41230.8551,PAOLINA BECERRA
8159 S SOUTH CHICAGO AVE 1ST,60617,"41,229",41228.90705,DONALD HAMPTON
5117 S INGLESIDE AVE,60615,"41,227",41226.959,"INGLESIDE FOOD MARKET, INC."
6316 S ASHLAND AVE,60636,"41,225",41225.01095,"RAINBOW FINER FOODS & LIQUOR, INC."
7301 N SHERIDAN RD  B,60626,"41,223",41223.0629,ALABKO 121 INC
[REDACTED FOR PRIVACY],60655,"41,221",41221.11485,TARA KULICK
7023 N CLARK ST 1,60626,"41,219",41219.1668,"MINHAZ ENTERPRISE, INC."
2006 W GARFIELD BLVD 1ST,60609,"41,217",41217.21875,55TH FOOD MART INC.
8611-8613 S STONY ISLAND AVE 1ST,60617,"41,215",41215.2707,GROOVE CIGAR LOUNGE INC.
2700 - 2712 W 51ST ST 1,60632,"41,213",41213.32265,"51ST PETROL, INC."
3800-3804 N CLARK ST,60613,"41,211.37",41211.37459,"UNCOMMON GROUND, INC."
3800-3804 N CLARK ST,60613,"41,209.43",41209.42654,"UNCOMMON GROUND, INC."
2006 W GARFIELD BLVD 1ST,60609,"41,207.48",41207.47849,55TH FOOD MART INC.
1401-1405 W DEVON AVE 1,60660,"41,206",41205.53044,"UNCOMMON GROUND, INC."
1401-1405 W DEVON AVE 1,60660,"41,204",41203.58239,"UNCOMMON GROUND, INC."
4803 W FOSTER AVE,60630,"41,202",41201.63434,URBAN CITY SMOKE SHOP 1 INC.
6958 S WENTWORTH AVE 1ST,60621,"41,200",41199.68629,ENGLEWOOD COMMUNITY MART LLC
3820 S ARCHER AVE,60632,"41,198",41197.73824,"DKN ENTERPRISES, LTD"
5949 - 5959 W MONTROSE AVE,60634,"41,195.79",41195.79019,ST. JUDE OIL GROUP INC.
1401-1405 W DEVON AVE 1,60660,"41,194",41193.84214,"UNCOMMON GROUND, INC."
1616 S CLINTON ST,60616,"41,192",41191.89409,PREMIER METAL WORKS INC
4332 N PAULINA ST 1,60613,"41,189.95",41189.94604,FRIENDS OF RAVENSWOOD SCHOOL
4759 S CICERO AVE,60632,"41,188",41187.99799,"MANSOOR, INC."
4092 N BROADWAY,60613,"41,186",41186.04994,GNS FOODS INC
9444 S LAFAYETTE AVE 1,60620,"41,184",41184.10189,MAX FOOD & GROCERY INC.
841-843 W RANDOLPH ST 1-2,60607,"41,182.15",41182.15384,"GEB, LLC"
74 E PERSHING RD 1ST 1,60653,"41,180",41180.20579,RUSSELL K ISHIHARA
2427 N CLARK ST,60614,"41,178",41178.25774,BHOJAPIR INCORPORATED
4410 N RAVENSWOOD AVE 1ST 101,60640,"41,176.31",41176.30969,"NORTH SIDE HOUSING AND SUPPORTIVE SERVICES, INC."
[REDACTED FOR PRIVACY],60610,"41,174.36",41174.36164,WARDEAN PATTERSON
2306 W DEVON AVE 1ST,60659,"41,172",41172.41358,DATA DARBAR INC.
203 N WABASH AVE,60601,"41,170.47",41170.46553,HOSPITALITY PARKING SERVICES INC.
1701 E 122ND ST 1ST,60633,"41,169",41168.51748,PPG INDUSTRIES INC.
2100 N MAJOR AVE 1ST&2ND 4,60639,"41,166.57",41166.56943,"ZAKROSE, INC."
329 W 18TH ST 4TH 415,60616,"41,164.62",41164.62138,"ETHNO SOLUTIONS, INC."
3743 N RAVENSWOOD AVE FIRST 123,60613,"41,163",41162.67333,"Pride Candle Company, LLC"
9046 S ASHLAND AVE 1ST,60620,"41,160.73",41160.72528,INKHART TATTOO AND BODY PIERCING LLC
4101 W ANN LURIE PL,60632,"41,158.78",41158.77723,Monda Industrials LLC
2100 N MAJOR AVE 1ST 6,60639,"41,156.83",41156.82918,SAP DESIGN INC.
841-843 W RANDOLPH ST 1-2,60607,"41,154.88",41154.88113,"GEB, LLC"
841-843 W RANDOLPH ST 1-2,60607,"41,152.93",41152.93308,"GEB, LLC"
841-843 W RANDOLPH ST 1-2,60607,"41,151",41150.98503,"GEB, LLC"
800 S MICHIGAN AVE,60605,"41,149",41149.03698,VALET PARKING AUTHORITY LIMITED
749 S CICERO AVE,60644,"41,147.09",41147.08893,"749 FOOD & FUEL, INC."
3641 N HALSTED ST,60613,"41,145.14",41145.14088,FANTASY NIGHT CLUB LLC
3641 N HALSTED ST,60613,"41,143.19",41143.19283,FANTASY NIGHT CLUB LLC
3814 N CLARK ST,60613,"41,141.24",41141.24478,EAST LAKEVIEW FOOD & LIQUOR INC.
233 E RIVERWALK  1,60601,"41,139.30",41139.29673,"SPICE, INC."
3641 N HALSTED ST,60613,"41,137",41137.34868,FANTASY NIGHT CLUB LLC
2414-2416 W 47TH ST,60632,"41,135.40",41135.40063,TALA CORP
10 S RIVERSIDE PLZ 8TH 800,60606,"41,133",41133.45258,ASSOCIATION FORUM OF CHICAGOLAND FOUNDATION
3641 N HALSTED ST,60613,"41,132",41131.50452,FANTASY NIGHT CLUB LLC
3733-3735 N SOUTHPORT AVE 1ST,60613,"41,129.56",41129.55647,SOUTHPORT MUSIC BOX CORPORATION
3660 N LAKE SHORE DR,60613,"41,128",41127.60842,"MIC-MAC, INC."
218 N HALSTED ST,60661,"41,125.66",41125.66037,"CHILLAX, INC."
3711 N RAVENSWOOD AVE  148,60613,"41,124",41123.71232,ELMA HEALING + ESTHETICS LLC
211 W 22ND PL 1ST,60616,"41,121.76",41121.76427,LIANG CORP.
55-71 W RIVERWALK  1ST,60601,"41,120",41119.81622,"TINY LOUNGE ON THE RIVERWALK, L.L.C."
755-759 W LAWRENCE AVE,60640,"41,118",41117.86817,MARINE DRIVE BUSINESS INC.
5114 S KNOX AVE,60632,"41,115.92",41115.92012,"LIQUOR DEPOT, INC."
4900 S CHICAGO BEACH DR 1-4,60615,"41,114",41113.97207,LAKE SHORE HOSPITALITY INC.
1119 W 47TH PL 1ST,60609,"41,112.02",41112.02402,EAGLE TRUCKING COMPANY
6717 S HALSTED ST,60621,"41,110.08",41110.07597,TAYLORMADE LLC
4900 S CHICAGO BEACH DR 1-4,60615,"41,108.13",41108.12792,LAKE SHORE HOSPITALITY INC.
3101 W 26TH ST 1,60623,"41,106",41106.17987,MARIA E. MARTINEZ
3714 N CLARK ST 1ST,60613,"41,104",41104.23182,"AA SPORTS CONNECTION, INC."
5113 S HARPER AVE 2ND,60615,"41,102.28",41102.28377,"SKYWAY ELEVATOR REPAIR COMPANY, INC.."
205 S PEORIA ST,60607,"41,100.34",41100.33572,Brothers GG 3 Inc.
2300 S THROOP ST,60608,"41,098",41098.38767,"LAWRENCE'S FISHERIES, INC."
2125 N CENTRAL PARK AVE,60647,"41,096",41096.43962,RAYS GROCERY AND TOBACCO INC.
125 S RACINE AVE FIRST 1S,60607,"41,094",41094.49157,Good Call Motos Inc.
7902-7908 S ASHLAND AVE,60620,"41,092.54",41092.54352,Ashland Food & Fuel Inc
1717 N WESTERN AVE 1ST,60647,"41,090.60",41090.59546,HYE JUNG HA
2300 S DR MARTIN LUTHER KING JR DR 1,60616,"41,089",41088.64741,PEAR LLC
3940 N RAVENSWOOD AVE 1ST/2ND,60613,"41,086.70",41086.69936,"GUARANTEED RATE, INC"
3660 N LAKE SHORE DR,60613,"41,084.75",41084.75131,"MIC-MAC, INC."
2929 S WABASH AVE  1ST,60616,"41,083",41082.80326,HENRY BOOTH HOUSE
948 W ADDISON ST 1,60613,"41,080.86",41080.85521,SPORTS DISTRIBUTORS INC
2300 S DR MARTIN LUTHER KING JR DR 1,60616,"41,078.91",41078.90716,PEAR LLC
5721 S WENTWORTH AVE 1ST,60621,"41,077",41076.95911,"LEGENDARY CIGARS, LTD."
2421 N NEVA AVE 2 204,60707,"41,075.01",41075.01106,MARGARITA DIAZ
2725 E 130TH ST 1ST 101,60633,"41,073",41073.06301,HENRY BOOTH HOUSE
2944 W 47TH ST 1ST,60632,"41,071.11",41071.11496,"2944 WEST 47TH STREET LIQUOR MART, INC."
2800 S WENTWORTH AVE FIRST,60616,"41,069.17",41069.16691,"COMPLETE HOME HEALTH CARE, LLC"
1 W WACKER DR,60601,"41,067",41067.21886,HOSPITALITY PARKING SERVICES INC.
1629-1635 W MONTROSE AVE 1,60613,"41,065.27",41065.27081,"TAOIST TAI CHI SOCIETY OF THE UNITED STATES OF AMERICA, INC."
3908-3910 N SHERIDAN RD 1ST,60613,"41,063.32",41063.32276,"PIZZA RUSTICA, INC."
1838 S CANAL ST,60616,"41,061.37",41061.37471,"REAL TASTE NOODLE MFG, INC"
3908-3910 N SHERIDAN RD 1ST,60613,"41,059.43",41059.42666,"PIZZA RUSTICA, INC."
2500 W BRADLEY PL 1ST F,60618,"41,057",41057.47861,"FIT INSTITUTE MANAGEMENT, LLC"
3249 S ARCHER AVE  1,60608,"41,055.53",41055.53056,UNITED DEVELOPMENTS AND INVESTMENTS LLC
537 W 26TH ST,60616,"41,054",41053.58251,WING YIP INC
603 W 31ST ST,60616,"41,052",41051.63445,MARIA CARMEN MONTOYA
109 E OAK ST 1ST-3RD,60611,"41,049.69",41049.6864,"RAZNY JEWELERS, LTD."
3813 W 70TH PL 1,60629,"41,048",41047.73835,HORTENCIA LOPEZ
2344 S ST LOUIS AVE,60623,"41,045.79",41045.7903,MARIA VERGARA ROSALES
1934 W IRVING PARK RD 1,60613,"41,043.84",41043.84225,"BUFFOONS, INC."
1934 W IRVING PARK RD 1,60613,"41,042",41041.8942,"BUFFOONS, INC."
2466 N CLARK ST,60614,"41,040",41039.94615,"HUSSAINI BROS, LLC"
332 S MICHIGAN AVE 4 400,60604,"41,038.00",41037.9981,"MIKVA CHALLENGE GRANT FOUNDATION, INC."
238 W 33RD ST 1ST & 2ND,60616,"41,036.05",41036.05005,3258 S. WELLS ST. RESTAURANT LLC
238 W 33RD ST 1ST & 2ND,60616,"41,034.10",41034.102,3258 S. WELLS ST. RESTAURANT LLC
7037 S STONY ISLAND AVE 1ST A,60649,"41,032",41032.15395,CHICAGO CHILD CARE SOCIETY
125 S WACKER DR 14,60606,"41,030",41030.2059,CHILDREN'S HOME & AID SOCIETY OF ILLINOIS
238 W 33RD ST 1ST & 2ND,60616,"41,028.26",41028.25785,3258 S. WELLS ST. RESTAURANT LLC
3233 S KOLIN AVE 1,60623,"41,026",41026.3098,"ATELIER JOUVENCE STONECARVING, INC."
2862 N CLARK ST 1ST,60657,"41,024.36",41024.36175,"VISION VENTURE II, LLC"
1511 W NORWOOD ST,60660,"41,022",41022.4137,EAMON ANDREW DALY
[REDACTED FOR PRIVACY],60631,"41,020.47",41020.46565,KELLY ROSCOE
4234 W NORTH AVE 1ST,60639,"41,018.52",41018.5176,"EL SENOR TAMAL, INC."
841-843 W SHERIDAN RD,60613,"41,016.57",41016.56955,RICKY'S FOOD MART INC.
3912-3914 N CLARK ST 1,60613,"41,014.62",41014.6215,OTHERWORLD THEATRE COMPANY
841-843 W SHERIDAN RD,60613,"41,012.67",41012.67345,RICKY'S FOOD MART INC.
3942 N SHERIDAN RD 1,60613,"41,011",41010.72539,"ALTAVISTA FOODS, INC."
4422 N RAVENSWOOD AVE 1ST,60640,"41,008.78",41008.77734,EXTRA MILE PUBLIC RELATIONS LLC
3730 N CLARK ST BASEMENT,60613,"41,006.83",41006.82929,"STAGES-MUSIC HALL, INC."
3730 N CLARK ST 2,60613,"41,005",41004.88124,"STAGES-MUSIC HALL, INC."
1021 W MONTROSE AVE,60613,"41,003",41002.93319,"1021 MONTROSE, L.L.C."
1021 W MONTROSE AVE,60613,"41,001",41000.98514,"1021 MONTROSE, L.L.C."
810 W 59TH ST,60621,"40,999",40999.03709,"SOUTHWEST FUEL, INC."
5316 S HARPER AVE  1ST,60615,"40,997",40997.08904,HYDE PARK ARMS HOTEL INC
4742 N KIMBALL AVE GROUND,60625,"40,995",40995.14099,Seedy Buns Inc
3730 N CLARK ST 1,60613,"40,993",40993.19294,"STAGES-MUSIC HALL, INC."
3730 N CLARK ST 2,60613,"40,991",40991.24489,"STAGES-MUSIC HALL, INC."
357 E 79TH ST 1ST,60619,"40,989.30",40989.29684,BAF LLC
3740 N CLARK ST 1,60613,"40,987.35",40987.34879,3740 NORTH CLARK CORP.
3740 N CLARK ST 1,60613,"40,985.40",40985.40074,3740 NORTH CLARK CORP.
3730 N CLARK ST 2,60613,"40,983",40983.45269,"STAGES-MUSIC HALL, INC."
3730 N CLARK ST BASEMENT,60613,"40,981.50",40981.50464,"STAGES-MUSIC HALL, INC."
3745 N MAGNOLIA AVE,60613,"40,979.56",40979.55659,ADAM M. FEATHER
611 S WELLS ST,60607,"40,978",40977.60854,611 S WELLS LLC
6104 W ADDISON ST 1ST,60634,"40,975.66",40975.66049,ABEL VILLA
6001-6027 S WENTWORTH AVE,60621,"40,973.71",40973.71244,1ST RESPONSE EMS INC.
222 W MERCHANDISE MART PLZ 15TH 1548,60654,"40,971.76",40971.76438,BASSETT FURNITURE INDUSTRIES OF NORTH CAROLINA LLC
123 E 51ST ST,60615,"40,969.82",40969.81633,HYDE PARK CORPORATION
2109 S STATE ST,60616,"40,967.87",40967.86828,"REGGIE'S MUSIC CLUB, LLC"
2109 S STATE ST,60616,"40,966",40965.92023,"REGGIE'S MUSIC CLUB, LLC"
2109 S STATE ST,60616,"40,963.97",40963.97218,"REGGIE'S MUSIC CLUB, LLC"
4555 W 60TH ST,60629,"40,962",40962.02413,KALCO LAUNDRY INC.
6029 N LINCOLN AVE 1ST,60659,"40,960.08",40960.07608,"Z-3 ENTERPRISES, INC."
6027 S WENTWORTH AVE 1 1,60621,"40,958",40958.12803,1ST RESPONSE EMS INC.
4019 W ARMITAGE AVE 1,60639,"40,956",40956.17998,"INE,S ZAPATERIA INC."
100 E WALTON ST 4TH 400,60611,"40,954",40954.23193,CONCIERGE MEDICAL SPA INCORPORATED
546 E 32ND ST,60616,"40,952",40952.28388,DONNA  ARMSTRONG
453 W 24TH ST 1ST D,60616,"40,950",40950.33583,DONGRI HUANG
1708 N ASHLAND AVE 1ST,60622,"40,948",40948.38778,"PLAYERS SPORT AND SOCIAL GROUP, INCORPORATED"
125 E 13TH ST 14 1401,60605,"40,946.44",40946.43973,"KEVINPBOYD, INC."
5404 N CLARK ST,60640,"40,944",40944.49168,HOWARD BROWN HEALTH CENTER
910 W VAN BUREN ST 5TH 500,60607,"40,943",40942.54363,SKYTECH ENTERPRISES LTD
1642 W 47TH ST,60609,"40,941",40940.59558,ROGER CADENA
3119 N LINCOLN AVE 1,60657,"40,938.65",40938.64753,"Power Sculpt Fitness, Inc"
111 W WASHINGTON ST 1ST LOC 6,60602,"40,936.70",40936.69948,JASMINES NAIL SALON AND SPA LLC
205 W WACKER DR 1 100,60606,"40,935",40934.75143,"WELLS STREET MARKET, LLC"
3 E HURON ST 2ND,60611,"40,933",40932.80338,"KW MANAGEMENT, INC."
4015 N ROCKWELL ST UNIT 1A,60618,"40,931",40930.85532,"URBAN BILLY, CO."
2112 W LAWRENCE AVE 1&2,60625,"40,929",40928.90727,JEWISH COUNCIL FOR YOUTH SERVICES
5823 W CORCORAN PL 1ST,60644,"40,926.96",40926.95922,NUBGINNS NATURAL HAIR & WELLNESS CENTER
1819 S STATE ST 1ST,60616,"40,925.01",40925.01117,ELAR AUTO REBUILDERS ON STATE
4315 N AVERS AVE 1ST,60618,"40,923.06",40923.06312,SEBASTIAN B. SANTIAGO
4000 N CLARK ST  1,60613,"40,921.12",40921.11507,ORESTES GARCIA
1902 S LUMBER ST 1ST,60616,"40,919.17",40919.16702,"CHICAGO ORIENTAL WHOLESALE MARKET, INC."
3951 N KIMBALL AVE 1 A,60618,"40,917.22",40917.21897,"TCC WIRELESS, INC."
953 W WEBSTER AVE 1,60614,"40,915",40915.27092,HELLO JASMINE DEPAUL LLC
73 E LAKE ST 28 2805,60601,"40,913",40913.32287,"Ashlen Enterprises, LLC"
1136 S DELANO CT  B-201,60605,"40,911",40911.37482,"Kaya Build Construction, LLC"
4379 W 26TH ST,60623,"40,909.43",40909.42677,INTEGRITY CONNECTA CORP.
2675 W GRAND AVE 1ST,60612,"40,907",40907.47872,"PACO COMMUNICATIONS, INC."
3232 N WHIPPLE ST 1,60618,"40,905.53",40905.53067,Amalgam Incorporated
1607 E 53RD ST,60615,"40,904",40903.58262,ANAYELI MIRANDA-MARTINEZ
2215 N KNOX AVE 1ST 100,60639,"40,901.63",40901.63457,AUTO PART OF CHICAGO INC.
2020 S PULASKI RD 1ST,60623,"40,899.69",40899.68652,"20TH ST CELLULAR & CLOTHING, INC."
5234 S BLACKSTONE AVE LL A,60615,"40,898",40897.73847,"CITY WIDE JANI, INC."
85 E WACKER DR 1-23,60601,"40,896",40895.79042,"360 MANAGEMENT COMPANY, LLC"
4043 N RAVENSWOOD AVE 2ND #216,60613,"40,894",40893.84237,"CREATIVE COMMUNE, LTD."
4707 W LAWRENCE AVE 1ST,60630,"40,892",40891.89431,MENDOZA ASSOCIATES LTD.
4653 N CLARK ST 1ST,60640,"40,889.95",40889.94626,EASY TIRES LLC
2490 N MILWAUKEE AVE,60647,"40,888",40887.99821,"BIG WIG 0003, LLC"
5553 W BELMONT AVE,60641,"40,886",40886.05016,INDIE MEDIA STUDIOS INC.
4101 N KEDZIE AVE 1ST,60618,"40,884.10",40884.10211,INGRID ALEXNDRA JIMENEZ
1846 S CANALPORT AVE  1,60616,"40,882",40882.15406,ALBERT STEIN
60 E 51ST ST,60615,"40,880",40880.20601,ERIE VEHICLE CO
2500 S WASHTENAW AVE 2 2,60608,"40,878.26",40878.25796,DUST 2 DAWN DEEP CLEANING SERVICE LLC
2337-2345 W LAKE ST 1ST,60612,"40,876.31",40876.30991,PUPSTARS PET CARE LLC
135 S PULASKI RD,60624,"40,874.36",40874.36186,OWEN FOOD MARKET INC.
1149 E 95TH ST 1ST,60619,"40,872",40872.41381,"KM MART INC.,"
503 E 61ST ST 1 3,60637,"40,870.47",40870.46576,"THINKBOX312, INC."
5155 N KIMBALL AVE 1ST,60625,"40,869",40868.51771,"FOSTER SHELL MART, INC."
1701 W CULLERTON ST GROUND STOREFRONT,60608,"40,867",40866.56966,Bethany DeGaetano-Smoker
4700-4712 S MICHIGAN AVE 1ST,60615,"40,865",40864.62161,"NOOR MART, INC."
4100 S ASHLAND AVE,60609,"40,862.67",40862.67356,VERONICA LAZARO
2935 N MILWAUKEE AVE 1ST,60618,"40,860.73",40860.72551,"RECORD BREAKERS, LTD."
4080 N BROADWAY  1ST,60613,"40,859",40858.77746,HAWK MOTOR SERVICE & SALES INC
2145 W CERMAK RD 1ST,60608,"40,856.83",40856.82941,"LEAVITT LAUNDRY, LLC"
4222 S ARCHER AVE 1ST,60632,"40,855",40854.88136,GREGORY MAXWELL
2750 N ASHLAND AVE,60614,"40,852.93",40852.93331,"A. I.  INTERNATIONAL COMPANY, INC."
3919 N LINCOLN AVE,60613,"40,851",40850.98525,PHOENIX CATS LLC
1432 S CLINTON ST FLOORS 1-4,60607,"40,849",40849.0372,"CORESITE REAL ESTATE CH2, L.L.C."
3953 W IRVING PARK RD 1ST,60618,"40,847.09",40847.08915,"ORGANIC NAIL SPA 1, LTD."
221 E 51ST ST 1ST FLOOR 1,60615,"40,845",40845.1411,"PRECIOUS LITTLE ONE'S LEARNING CENTER, INC."
410 S CLARK ST 1ST,60605,"40,843.19",40843.19305,"AIR TEC WIRELESS, INCORPORATED"
1046-1048 W BRYN MAWR AVE 1ST,60660,"40,841",40841.245,"EDGEWATER PLAYHOUSE, LLC"
4003 W LAKE ST,60624,"40,839.30",40839.29695,George Koukos
55 E MONROE ST 38 3800,60603,"40,837.35",40837.3489,Canna Consultants Incorporated
2848 S WENTWORTH AVE,60616,"40,835.40",40835.40085,NEW WORLD TRAVEL LLC
4451 W BELMONT AVE 2,60641,"40,833.45",40833.4528,K&N Labels Inc.
1862 S BLUE ISLAND AVE 1ST,60608,40831.50475,40831.50475,"P.R.O. ENTERPRISES, INC."
643 W GRAND AVE,60654,"40,830",40829.5567,"Essence of Life Healing Arts Chicago, Inc."
5341-5343 N HARLEM AVE 1ST/ 2ND,60656,"40,828",40827.60865,T. KOSCIUSZKO SCHOOL OF POLISH LANGUAGE
600 W VAN BUREN ST 1 150,60607,"40,825.66",40825.6606,ASPIS STUDIO LLC
2414 W BRYN MAWR AVE  1W,60659,"40,823.71",40823.71255,"WHITE MOUNTAIN, LLC"
4446 N KEDZIE AVE 1ST,60625,"40,821.76",40821.7645,IRMA JUDITH ANGAMARCA ABRIGO
5302 W DIVISION ST 1ST,60651,"40,819.82",40819.81645,JO JO FOOD MART LLC
2815 N LINCOLN AVE  101,60657,"40,817.87",40817.8684,Sugarwax LLC
5539 S MICHIGAN AVE 1ST,60637,"40,816",40815.92035,MICHIGAN FOOD CENTER INC.
6716 S STONY ISLAND AVE,60649,"40,814",40813.9723,NoContract 6716 Inc
5112 W NORTH AVE GROUND,60639,"40,812.02",40812.02424,BR HAIR SALON LLC
8129 S GREEN ST  BMT,60620,"40,810",40810.07619,Tiffany Merrills
5226-5240 S WESTERN AVE,60609,"40,808.13",40808.12814,ST. MICHAEL 52ND INC.
3604 N LINCOLN AVE  1,60613,"40,806",40806.18009,GREG YONAN
6348 N WASHTENAW AVE 1ST,60659,"40,804.23",40804.23204,YASSER HAIR SALON INC.
1400 W 46TH ST 2 1,60609,"40,802",40802.28399,"NEW MAGNOLIA GARDEN CENTER, INC"
1953 W ROSCOE ST 1ST,60657,"40,800",40800.33594,JS&D CORPORATION
4333 W MADISON ST 1,60624,"40,798",40798.38789,"NEXX PHAZE, LLC"
2424 N GENEVA TER,60614,"40,796",40796.43984,THIRD COAST MASKS LLC
2521 S HALSTED ST 1ST FL REAR,60608,"40,794",40794.49179,SUN'S HEATING & COOLING INC.
1201 - 1301 N ELSTON AVE 1ST,60642,"40,793",40792.54374,"MCGRATH DOWNTOWN AUTO, INC."
1863 N CLYBOURN AVE,60614,"40,790.60",40790.59569,Pegasus Protein LLC
11543 S MICHIGAN AVE 1ST,60628,"40,788.65",40788.64764,MANNY'S GROCERIES & MORE CORP.
1515 N ASTOR ST  8A,60610,"40,786.70",40786.69959,RSS GLOBAL TRADE LLC
5937 W 63RD ST 1ST,60638,"40,784.75",40784.75154,MARIA P. VALLE
1521 E 53RD ST 1ST,60615,"40,783",40782.80349,GAMMARIELLO RX INC
4101 N BROADWAY  1ST,60613,"40,781",40780.85544,HUMAN CITIZEN CONSULTING INC.
2317 W CHICAGO AVE 1ST,60622,"40,779",40778.90739,MAYRA ROMAN-MIRANDA
5549 N CLARK ST GROUND,60640,"40,777",40776.95934,Rolland LLC
5949 W HIGGINS AVE 1ST,60630,"40,775.01",40775.01129,CK5949 INC.
808 W BUCKINGHAM PL  1E,60657,"40,773.06",40773.06324,"Omar Rmz, LLC"
8210 S RIDGELAND AVE,60617,"40,771.12",40771.11518,Khancious Builders L.L.C.
165 E HURON ST 1,60611,"40,769",40769.16713,RAMEN NMH LLC
7226 S BENNETT AVE,60649,"40,767",40767.21908,Norman Teague Design Studios
4809 N RAVENSWOOD AVE 4 410 A,60640,"40,765",40765.27103,ELMA HEALING + ESTHETICS LLC
