account number,ward,license number,legal name,address,zip code
5404,42,2590082,MARKET DATA CORPORATION,405 W SUPERIOR ST 2ND 200,60654
15538,27,2283226,TARGET CORPORATION,1200 N LARRABEE ST 1-3,60610
466149,42,2712728,"WCHM,INC.",605 N MICHIGAN AVE 4TH,60611
424774,1,2713084,"URS CONSTRUCTION AND DEVELOPMENT INC.,",2462 W ARMITAGE AVE 1ST,60647
460496,26,2677880,ALL JAZZED UP LLC,3822 W NORTH AVE 1,60647
387955,3,2636867,JBR BREWING LLC,2513-2517 S WABASH AVE 2,60616
15538,40,1679461,TARGET CORPORATION,2112 W PETERSON AVE,60659
465533,15,2709165,"PARAISO DE AVES, INC.",1836 W 47TH ST 1ST,60609
425103,30,2579287,"CLEAN SPIN LAUNDRY, INC.",3273 N MILWAUKEE AVE,60618
15538,44,2469765,TARGET CORPORATION,3204 N CLARK ST,60657
402322,33,2432750,ALVAREZ AUTO REPAIR LLC,2739 W BELMONT AVE 1ST,60618
462274,9,2689432,"NATIONAL MATERIAL PROCESSING, LLC",429 W 127TH ST,60628
15574,1,2671784,CATHERINE EDELMAN INC,1637 W CHICAGO AVE 1 & LL,60622
315700,13,2443403,BLANCA A. SANTOS,6059 S KILDARE AVE 1ST,60629
388035,42,2636326,CB & SON LLC,410 S MICHIGAN AVE 4TH 433,60605
465031,31,2704448,PF-IL AVONDALE LLC,3100-3158 N PULASKI RD,60641
367772,14,2422828,"LA FIESTA PRODUCTS, INCORPORATED",5041 S HOMAN AVE 1,60632
424622,23,2578495,"RANGEL APPLIANCES AND CONTROLS SUPPLY, INC.",4006 W 63RD ST 1ST,60629
466418,20,2713181,MB Kuda Incorporated,6035 S ST LAWRENCE AVE 1 1N,60637
464970,39,2704345,THEK9PT L.L.C.,4521 W LAWRENCE AVE 1ST 108,60630
386911,12,2299337,SUCURSAL IGUALA GUERRERO INC.,2714 W CERMAK RD,60608
424059,47,2574795,"Chicago Magic Lounge, LLC",5048-5050 N CLARK ST 1 & MEZZ,60640
464599,11,2703680,"TENNANT COATINGS, INC.",1120 W EXCHANGE AVE 1ST,60609
18126,42,2204423,"WESTIN RIVER NORTH, CHICAGO BEVERAGE COMPANY",320 N DEARBORN ST,60654
424408,22,2665034,DK WIRELESS INC,4323 W 26TH ST,60623
464833,42,2704053,"VIBEZZ, LLC",664 N WELLS ST 1ST,60654
10749,42,2483684,"PAPER SOURCE, INC.",125 S CLARK ST LOBBY,60603
423067,47,2565056,"AMP PILATES II, LLC",4023 N LINCOLN AVE 1ST,60618
387619,13,2419416,GESER APARICIO,3910 W 71ST ST 1ST,60629
403602,44,2446109,BERAT CLEANERS INC.,415 W BELMONT AVE  1B,60657
403043,27,2438183,L & C BOXING LLC,410 N OAKLEY BLVD 2ND,60612
15538,46,2048871,TARGET CORPORATION,4466 N BROADWAY,60640
462771,26,2693889,OXYGEN SPA STUDIO LLC,2638 W CHICAGO AVE 1ST 1,60622
417632,1,2703551,DREAMERS ACADEMY LLC,1824 W GRAND AVE 1ST 100,60622
424583,26,2609499,MJ MOBILE INC.,4036 W NORTH AVE,60651
422274,44,2577983,OMSRI2919 INC.,2919 N BROADWAY  1,60657
4162,42,29962,BRETT'S KITCHEN INC.,233 W SUPERIOR ST 1,60654
15538,43,2452304,TARGET CORPORATION,2650 N CLARK ST,60614
277471,48,2284521,"DRIVE CLEANING, INC.",5312 N BROADWAY  STREET,60640
388025,32,2496154,Elston Development Signs LLC,2222 N ELSTON AVE 1ST 100,60614
15538,1,2595119,TARGET CORPORATION,1664 W DIVISION ST 1,60622
466234,17,2712893,INFINITE RESOURCE & TAX CENTER LLC,1153 W 79TH ST 1 1,60620
369042,1,2457543,EXPEDIENT TAX INC.,1533 N WESTERN AVE 1,60622
299710,27,2647723,"HIGHLAND PARK CVS, L.L.C.",1034 W LAKE ST 1,60607
384977,43,2284823,9NB CORP.,2151-2153 N SHEFFIELD AVE 1 1,60614
424645,39,2578515,BLU COLLAR SOLUTIONS INCORPORATED,4626 W LAWRENCE AVE,60630
424414,28,2578102,CINDY BROWN INC.,2834 W ROOSEVELT RD 1ST,60612
315229,43,2563793,"PARKSIDE STRATEGIC ENTERPRISE, INC.",1845 N CLYBOURN AVE 1ST H,60614
262046,42,2689672,"EIRE DIRECT MARKETING, LLC",445 W ERIE ST 2 203,60654
466048,36,2712614,EV WELLNESS LLC,2315 N OAK PARK AVE,60707
388073,42,2575317,Travel Zap Inc.,29 E MADISON ST  400,60602
464655,26,2703801,"MAHER TRUCKING INC.,",3259 W NORTH AVE,60647
466326,31,2713023,GRECIA VERGARA,2412 N CICERO AVE 1ST,60639
427090,1,2595225,"TIGHT FIVE PRODUCTIONS, NFP",2038-2044 N MILWAUKEE AVE 1,60647
461113,33,2683983,"BERN III ENTERPRISES, LLC",4650 N KEDZIE AVE 1,60625
18670,25,2184482,"PETSMART, INC.",1101 S CANAL ST,60607
459657,2,2671277,"SBK DOG CLUB, INC.",1522 N ASHLAND AVE 1ST & BSM,60622
466098,22,2712671,"EPS SUBSIDIARY II, LLC",4049 W OGDEN AVE  B,60623
379674,2,2245552,"YAMATO, INC.",152 W SUPERIOR ST 1,60654
326493,1,2622533,"KAART MARKETING, LLC",1824 W GRAND AVE  200,60622
465996,39,2712525,Darlenes Boutique Inc.,5033 N ELSTON AVE,60630
424612,31,2578479,AROO FULLERTON INC.,4354 W FULLERTON AVE,60639
311641,36,2214967,"MCGRATH CITY HYUNDAI, INC",6722 W GRAND AVE,60707
465961,42,2712479,"IMPERIAL SHOE SERVICES, INC.",70 E LAKE ST  68,60601
386998,32,2517293,ZYVATECH INC,1648 W NORTH AVE 1ST,60622
465931,42,2712427,AKRAM HANNA CUSTOM FITTING INC.,900 N MICHIGAN AVE 6TH L6-20,60611
465569,31,2709225,MERCADO DE LA MANZANA INC.,4455-4459 W BELMONT AVE 1ST,60641
15538,27,2283931,TARGET CORPORATION,1200 N LARRABEE ST 1-3,60610
386813,25,2299112,GOODALE CORPORATION,1619-1635 S CANAL ST 1,60616
15538,1,1579439,TARGET CORPORATION,2656 N ELSTON AVE,60647
388089,44,2308868,BINDLE SHOP LLC,431 W OAKDALE AVE 11TH 11 C,60657
352379,25,2732815,Innovative Communication Solutions LLC,1229 W MADISON ST 1ST FLOOR H,60607
18670,46,2341550,"PETSMART, INC.",3736 N HALSTED ST 1,60613
327088,2,2647411,CHICAGO GALLERY NEWS INC.,858 N CLARK ST 2 204,60610
21,2,166,SANDBURG SUPER MART INC,1525 N CLARK ST 1,60610
386642,26,2298730,AWAKENART INCORPORATED,2802 W CHICAGO AVE 1 1,60622
465581,2,2709309,"PULLING DOWN THE MOON, INC.",770 N LA SALLE DR 8 800,60654
424533,41,2578342,"ONYX BEAUTY & BARBER, LLC",6432 N CENTRAL AVE 1,60646
424529,26,2578332,SOFIA FLORES,4142 W NORTH AVE 1ST,60639
402955,35,2437994,"QUE OF LIFE PARTNERS, INC.",2768 N MILWAUKEE AVE 1ST,60647
424408,22,2609497,DK WIRELESS INC,3824 W 26TH ST,60623
15538,25,2283932,TARGET CORPORATION,1101 W JACKSON BLVD 2,60607
403340,16,2442970,VAN'S HAND CARWASH LLC,5940 S ASHLAND AVE GROUND,60636
424583,26,2609498,MJ MOBILE INC.,4038 W NORTH AVE,60651
403600,23,2688853,"MASTER WIRELESS KEDZIE 51ST CO., INC",5220 S PULASKI RD 1ST C6:31,60632
465420,14,2708984,"JUDES MINI MART, LLC",4100 W 47TH ST STOREFRONT,60632
466474,25,2713296,CROSSWINDS MECHANICAL INC.,950 W 18TH ST 1ST,60608
466183,42,2712786,"STADIUM ENTERPRISES, LLC",60 E WALTON ST,60611
15538,32,2709377,TARGET CORPORATION,2434 N SACRAMENTO AVE 1ST,60647
424623,16,2578494,AROO ASHLAND INC.,6230 S ASHLAND AVE  D,60636
420735,11,2564604,HEALTHY FOOT DAY CARE INC.,2749 S ARCHER AVE 1,60608
424584,25,2652384,FLOWERS COMMUNICATIONS INC.,1171 W 18TH ST,60618
466155,38,2712737,WILLIAM JOHNSON,5612 W WINDSOR AVE  UNIT 2,60630
324855,42,2341745,"GEORGE G, LLC",25 E OAK ST 3RD,60611
15538,4,1619238,TARGET CORPORATION,1154 S CLARK ST,60605
428091,3,2713127,"3YS SERVICES, INC.",122 E GARFIELD BLVD 1ST,60615
403651,6,2446220,SEAFOOD HEAVEN INC.,432 E 87TH ST 1ST,60619
403755,42,2517157,"AIR TEC SERVICE CENTER INC.,",242 S STATE ST 1ST,60604
465937,3,2712443,EPI L.L.C.,2303 S MICHIGAN AVE  205,60616
403600,15,2688852,"MASTER WIRELESS KEDZIE 51ST CO., INC",4195 S ARCHER AVE 1ST B,60632
387988,33,2308544,BROTHERS WIRELESS INC.,4839 N KEDZIE AVE 1ST,60625
299710,42,2574614,"HIGHLAND PARK CVS, L.L.C.",670-678 N WELLS ST 1,60654
387422,15,2304467,TENORIO TIRE SHOP 5 INC.,2321-2329 W 47TH ST 1ST,60609
8018,2,19828,"POTASH BROS., INC.",875 N STATE ST 1,60610
424610,16,2578477,AROO KEDZIE INC.,5901 S KEDZIE AVE,60629
463676,27,2698303,"LYFT CENTER, INC.",1020 N ELSTON AVE,60642
388213,49,2309203,MARIA ISABEL OLMEDO,1767 W GREENLEAF AVE 1ST,60626
404085,33,2447157,MAURICIO W VARGAS,3035 W IRVING PARK RD 1ST 1,60618
248683,27,2464953,"FLETCHER JONES OF CHICAGO, LTD.,  LLC.",949 N ELSTON AVE 1-4,60642
313881,29,1801065,"TUTI HAIR DESING, INC.",7155 W GRAND AVE 1,60707
464574,17,2703614,STYLES BY CHRIS AND TISH LLC,3045 W 63RD ST  1E,60629
466005,21,2712546,PHONE DEPOT PLUS INC.,1903 W 87TH ST 1ST,60620
86927,29,2309017,KOLATEKS BAKERY INC.,2445-2447 N HARLEM AVE 1ST,60707
466596,36,2713493,JAQUELINE DIRCIO CORREA,4813 W ARMITAGE AVE 1ST,60639
465944,11,2712457,STEINBACH FOODS LLC,739-741 W 47TH ST 1,60609
465191,27,2708657,SECOND CITY INK INC.,1440 N DAYTON ST LOWERLEVEL LL02,60642
387890,46,2308343,Fused Building Solutions LLC,4750 N SHERIDAN RD 2 249,60640
464615,30,2703705,MAA SARASWATI INC.,3600 W DIVERSEY AVE GROUNDLEVEL,60647
403635,11,2446191,"SOUF, INC.",3442 S HALSTED ST 1ST,60608
424872,50,2578983,Ekaterini Vellios,3360 W PETERSON AVE  B,60659
465832,50,2712248,KG Chicago Inc,7300 N WESTERN AVE,60645
423880,31,2574461,"ARATHI PROPERTY, INC.",2948-2958 N CICERO AVE 1ST,60641
368947,42,2210294,WALDORF=ASTORIA MANAGEMENT LLC,11 E WALTON ST,60611
424626,37,2578500,AROO NORTH INC.,4442 W NORTH AVE,60639
401093,24,2423761,M&M LIQUOR LLC,3958 W ARTHINGTON ST LL & 1,60624
464615,30,2703707,MAA SARASWATI INC.,3600 W DIVERSEY AVE GROUNDLEVEL,60647
424269,26,2575326,JENEE MASON,3850 W CORTLAND ST 2 2-27,60647
457683,12,2658578,GALLARDO APPLIANCES CORPORATION,2741 W CERMAK RD 1ST,60608
397916,38,2397474,"OHMKARA, INC.",5600 W IRVING PARK RD 1,60634
307942,42,2708817,"ORANGE SKIN, LLC",419 W SUPERIOR ST 1ST FLOOR,60654
421849,37,2560159,"GUS AUTO REPAIR CLINIC, INC.",1155 N CENTRAL AVE 1ST,60651
336473,14,2380220,BARRY CALLEBAUT USA LLC,4845 S LAWNDALE AVE,60632
465823,43,2712236,LA BOUTIQUE DE FLEURS LLC,2446 N CLARK ST 1ST,60614
463734,2,2698429,"BROTHERS GG2, INC",1857 W NORTH AVE  UNIT C-1,60622
29530,42,2583149,CHE SGUARDO INC,208 W HURON ST LL - 1ST,60654
315229,2,2563769,"PARKSIDE STRATEGIC ENTERPRISE, INC.",1222 N WELLS ST 1ST,60610
425037,12,2579161,EFFICIENT TRUCKING INC.,3201 S HOYNE AVE,60608
424583,24,2677770,MJ MOBILE INC.,3944 W CERMAK RD,60623
424584,15,2578424,FLOWERS COMMUNICATIONS INC.,1654 W 47TH ST 1ST,60609
424263,21,2575301,NYC FUEL INC.,8601-8615 S HALSTED ST 1ST,60620
465959,46,2712473,BEST TASTE VENTURES LLC,3933 N BROADWAY  GROUNDLEVEL,60613
387874,40,2308306,Tambito Inc.,5423 N LINCOLN AVE 1,60625
464528,8,2703543,LUCKY COTTAGE FOOD INC.,8207 S COTTAGE GROVE AVE  A,60619
466257,49,2712934,"JARVIS SQUARE POTTERY, LLC",1443 W JARVIS AVE 1,60626
18670,48,2385571,"PETSMART, INC.",5210 N BROADWAY  1,60640
464655,26,2703800,"MAHER TRUCKING INC.,",3259 W NORTH AVE,60647
388029,50,2308749,DELOBIAN FOODS MARKET INC.,7424 N WESTERN AVE 1ST,60645
388062,50,2308817,"KANZA'S BEAUTY SALON, INC.",2140 W DEVON AVE 1ST 1-E,60659
465427,44,2708993,"GRIT SPORTS YT, LLC",3519 N CLARK ST  A201,60657
15538,43,2723527,TARGET CORPORATION,555 W WEBSTER AVE,60614
424014,34,2698858,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC",11702 S MARSHFIELD AVE,60643
9921,29,24568,"LAILA'S GRAND GAME ROOM, INC.",7110 W GRAND AVE 1ST,60707
403600,14,2589867,"MASTER WIRELESS KEDZIE 51ST CO., INC",5115 S KEDZIE AVE  A,60632
403854,25,2694180,NR FABRICS LLC,612-614 W ROOSEVELT RD 1ST,60607
466399,9,2713143,RONALD LEE JUSTUS,327 E 115TH ST 1ST,60628
463455,18,2713252,LISA GREENE,8446-8448 S KEDZIE AVE 1,60652
463635,15,2698258,"PLANT CHICAGO, NFP",4459 S MARSHFIELD AVE,60609
387831,33,2589446,MARCELINO ESPINOSA,3350 W MONTROSE AVE,60618
465575,6,2709241,"TATA FOOD MART, INC.",342 E 71ST ST  A,60619
387656,42,2616287,"BEDAZZLED NAILS & SPA, INC.",221 E GRAND AVE,60611
466559,46,2713447,"LET'S TALK MOBILE, LLC",4407 N CLARENDON AVE  SPACE A,60640
466325,23,2762515,CFIT COOK INC.,5324 S PULASKI RD,60632
315229,42,2563792,"PARKSIDE STRATEGIC ENTERPRISE, INC.",345 E OHIO ST 1,60610
466325,18,2713017,CFIT COOK INC.,7600 S PULASKI RD 1 6,60652
465397,14,2708950,"EL G-FE MEXICAN GRILL, INC.",4253 W 47TH ST GROUNDLEVEL,60632
15538,49,2641830,TARGET CORPORATION,6422 N SHERIDAN RD  UNIT A,60626
397916,38,2397476,"OHMKARA, INC.",5600 W IRVING PARK RD 1,60634
465930,47,2712425,"INPOWERED YOGA., LIMITED",2220 W LAWRENCE AVE 1ST,60625
465939,21,2712452,SHOPNSAVE MEAT MARKET INC.,8211 S ASHLAND AVE,60620
403800,11,2446536,"A&W LAUNDRY INC.,",1007 W 31ST ST 1ST,60608
387306,29,2304281,"UNITED TIRES, LLC",7053-55 W BELMONT AVE,60634
466666,28,2713659,BADARI INC.,281 N PULASKI RD 1ST,60624
424821,50,2749545,MKON GROUP INC,3034 W DEVON AVE 2ND FLOOR 203,60659
247741,29,2501727,WILLIAM X MARRERO,7102 W GRAND AVE,60707
3502,27,5825,UNITY MANUFACTURING CO.,1260 N CLYBOURN AVE,60610
403276,15,2442853,47TH DOLLAR FOOD & MART INC.,1714 W 47TH ST 1ST,60609
387326,1,2304306,PLAZA FOOD INC.,3011 W ARMITAGE AVE 1ST,60647
36330,11,2510628,"VAN CLEEF HAIR STUDIO, LTD",1255 S HALSTED ST 1ST,60607
466430,33,2713198,"ELIAS HAIR DESIGN INC.,",4549 N KEDZIE AVE STOREFRONT,60625
387569,43,2307610,LAVENDER PARK LIMITED,2537 N SHEFFIELD AVE STREET,60614
15538,42,2411612,TARGET CORPORATION,401 E ILLINOIS ST,60611
271116,39,2517195,CHICAGO IRISH IMMIGRANT SUPPORT,4626 N KNOX AVE 3 301,60630
38362,42,2423086,GOODMAN WILLIAMS GROUP INC,116 W ILLINOIS ST 7TH,60654
459299,33,2670491,MEANINGFUL MILESTONES LLC,2922-2930 N CAMPBELL AVE 1ST 1,60618
466413,31,2713168,"DARTAX, LLC",5040 W DIVERSEY AVE 1ST C,60639
56140,46,2550111,"McDuffee Design Group, Inc.",4321 N KENMORE AVE 1 1N,60613
465973,31,2712483,MUJERES LATINAS DE IMPACTO GLOBAL INC.,3148 N LARAMIE AVE 1ST,60641
401529,40,2428348,JAYAMBE PAVAN INC,5029 N WESTERN AVE 1,60625
465600,1,2709284,Degray LLC,2340 N CALIFORNIA AVE 3 319,60647
465476,19,2712368,JAS ENTERPRISE INC.,1834 W 95TH ST 1,60643
299710,42,2600369,"HIGHLAND PARK CVS, L.L.C.",310 S MICHIGAN AVE 1,60604
403977,26,2588856,F & C CONSULTING CORP.,4119 W NORTH AVE 1ST,60639
424807,1,2578891,IWISH LLC,1624 W DIVISION ST  D,60622
307723,2,2457398,"SWERVE SALON, LLC",1350 N WELLS ST 1ST,60610
387927,9,2308426,RIZKA INC.,400 E 103RD ST 1ST,60628
401477,47,2563850,FH7 LAKEVIEW LLC,3355 N LINCOLN AVE 2ND,60657
424412,27,2578098,"SPICE HOUSE, LLC",1512 N WELLS ST 1ST,60610
10047,35,2647852,"PORTILLO'S HOT DOGS, LLC",3343 W ADDISON ST 1,60618
325908,42,2718385,"GAME SHOW NETWORK, LLC",321 N CLARK ST 7TH 710,60654
464748,19,2703908,"OLIPHANT PHOTO COMPANY, LLC",2243 W 111TH ST,60643
424583,31,2641745,MJ MOBILE INC.,3858 W FULLERTON AVE,60647
464206,18,2699191,"MR MUNCHIES, INC.",3107 W 71ST ST STOREFRONT,60629
307591,38,2442712,"DOMA CENTERS, INCORPORATED",3414 N HARLEM AVE,60634
41139,25,1799302,INFO. DATA SERVICES INC.,2259 W CERMAK RD 1,60608
463657,26,2698281,IGB HAWKS CONSTRUCTION INC,2427 W ERIE ST,60612
424649,6,2578526,"TAISHA BEAUTY WORLD, LLC",7105 S HALSTED ST 1ST,60621
311637,36,2214965,"MKM AUTOMOTIVE, INC",6720 W GRAND AVE,60707
424999,42,2579141,"VICKIES NAIL SPA-CHICAGO, INC.",5-11 E SUPERIOR ST 1ST,60611
424836,18,2578920,Saraha Alexander,8120 S KEDZIE AVE  UNIT 4,60652
387972,39,2308506,AERIAL DANCE CHICAGO,4028 W IRVING PARK RD 2 LOFT A,60641
424845,37,2578950,OLVERA'S FENDER BENDERS LLC,1436-1444 N KILPATRICK AVE 1ST,60651
460623,50,2678097,JAI HANUMAN1115 INC.,6013-6015 N LINCOLN AVE 1,60659
15538,4,2469768,TARGET CORPORATION,1346 E 53RD ST,60615
466499,1,2713322,"GLOBAL HEATING AND COOLING, LLC",919 N ASHLAND AVE 1,60622
464574,17,2703614,STYLES BY CHRIS AND TISH LLC,3045 W 63RD ST  1E,60629
29990,2,2757722,NAILS BY LIZ INC,1460 N CLARK ST  2A,60610
424583,30,2594602,MJ MOBILE INC.,3200 N CICERO AVE,60641
463380,6,2694828,BEAUTY AND THE BEAST HQ LLC,416 E 87TH ST,60619
466235,3,2712895,"South Loop 2 Fitness, LLC",110 E CERMAK RD,60616
403657,46,2717984,OMAR PHARMACY,845 W WILSON AVE 1 130,60640
424408,22,2609496,DK WIRELESS INC,4015 W 26TH ST,60623
299710,4,2488276,"HIGHLAND PARK CVS, L.L.C.",1346 E 53RD ST,60615
462419,47,2689743,DNW LUXE HAIR LLC,2234 W LAWRENCE AVE  5,60625
424666,31,2718016,"UNCOMMON CLOSET, LLC",3720 W FULLERTON AVE,60647
424512,49,2578287,1632 Club Company,1632 W HOWARD ST,60626
403663,29,2446239,NORTHSOUTH MOVING TRANSPORTATION CO.,1900 N AUSTIN AVE 1ST 6 WA,60639
15538,36,1518672,TARGET CORPORATION,6525 W DIVERSEY AVE,60707
15538,42,2138479,TARGET CORPORATION,1 S STATE ST 1&2,60603
458989,32,2665325,"FCS Investments, LLC",3026 N ASHLAND AVE,60657
385569,2,2713310,CLAY SON'S ENTERPRISES LLC,1415 N DEARBORN ST 21ST 21B,60610
404002,44,2446986,MAPLE AVENUE PARTNERS - LAKEVIEW LLC,3176 N CLARK ST,60657
403555,18,2443401,"ATLAS LAUNDRY SYSTEMS, INC.",2005-2009 W 79TH ST 1ST,60620
424059,47,2574857,"Chicago Magic Lounge, LLC",5048-5050 N CLARK ST 1 & MEZZ,60640
464746,31,2703904,"VULCAR TIRE SHOP, INC.",3021 N CENTRAL AVE,60634
388227,22,2699231,"INTERNACIONAL EXPRESS, INC.",4325 W 26TH ST 1ST,60623
424031,42,2574737,"POOJAN FOOD INC.,",500 W MONROE ST 1ST LOBBY,60661
466275,20,2712951,DIANE RUSSELL,815 W 63RD ST 4TH,60621
10749,42,2483689,"PAPER SOURCE, INC.",125 S CLARK ST LOBBY,60603
15538,33,1616271,TARGET CORPORATION,2939 W ADDISON ST,60618
403575,23,2446166,AMIGOS FROZEN SOLUTIONS L.L.C.,5115 S MILLARD AVE 1ST,60632
466658,24,2713651,"HOMAN GROWN, L3C",3832-3858 W 16TH ST,60623
311641,36,2214966,"MCGRATH CITY HYUNDAI, INC",6750 W GRAND AVE,60707
18670,45,2341552,"PETSMART, INC.",4640 W IRVING PARK RD 1,60641
424840,44,2578937,"YOGGIC, LLC",3110 N SHEFFIELD AVE 1ST 1B,60657
303772,12,1697201,"O'REILLY AUTO ENTERPRISES, LLC",3201 S ASHLAND AVE,60608
423797,17,2570324,"JUNIOR FOOD MART, INC.",1701 W 79TH ST,60620
403502,11,2443286,"YOUN ENTERPRISES, INC.",4666 S HALSTED ST 1ST,60609
403600,12,2621906,"MASTER WIRELESS KEDZIE 51ST CO., INC",3870 S ARCHER AVE 1ST,60632
466600,47,2713522,DR. MARINA KOSTINA,1714 W LAWRENCE AVE GROUND,60640
465259,42,2708803,"KP'S KITCHEN, INC.",651 W WASHINGTON BLVD 1,60661
331498,31,2432381,JOSE L. ALZATI,4514 W WRIGHTWOOD AVE 1ST,60639
369619,28,2689890,FAITH HEALING TEMPLE,217 N CICERO AVE,60644
465381,31,2709067,"MJI'S FASHION, INC.",5151 W DIVERSEY AVE STOREFRONT,60639
387822,25,2308220,"EWC WAXING 5, LLC",949 W MADISON ST 1ST 101,60607
424310,26,2575385,"T-PRO SPA, INC.",2520 W CHICAGO AVE 1ST,60622
18670,14,2418836,"PETSMART, INC.",4146 S PULASKI RD 1,60632
18670,44,2385572,"PETSMART, INC.",3319 N ASHLAND AVE 1,60657
332378,42,2684834,"UPSCALE CONCEPTS, LLC",212 W SUPERIOR ST  100,60654
355566,35,2699493,ALOFT DANCE LLC,3324 W WRIGHTWOOD AVE 1,60647
337362,27,2368466,"ART OF HAIR DESIGN, INC.",1445 N WELLS ST 1ST,60610
424408,12,2608581,DK WIRELESS INC,3109 W CERMAK RD,60623
273826,42,2671167,"ITALIAN WINE BAR - 626 N. STATE, LLC",626 N STATE ST 1-2,60654
31212,44,2114421,JEFFREY M BANTZ,3209 N CLARK ST 1ST,60657
465806,32,2713078,"ARCHIC PROPERTIES, INC.",3047 N LINCOLN AVE 4TH 400,60657
36783,27,2458760,GLAZIER CORPORATION,1406 W FULTON ST 1ST A-2,60607
250209,44,2232180,EDC DEVELOPMENT L.L.C.,710 W OAKDALE AVE 1ST,60657
298041,25,2579229,HABITAT FOR HUMANITY CHICAGO,1100 W CERMAK RD 4TH 404,60608
424874,42,2578988,Tribune  Tower East (Chicago) Owner LLC,435 N MICHIGAN AVE  1210,60611
305333,42,2583271,KARA MANN DESIGN LLC,165 W CHICAGO AVE 3,60654
250214,44,2232172,EDC PROPERTY MANAGEMENT L.L.C.,710 W OAKDALE AVE 1 1A,60657
331934,42,1908618,"THEORY, LLC",9 W HUBBARD ST 1,60610
403592,42,2443466,"AVISON YOUNG - DEVELOPMENT, LLC",1 S WACKER DR  3000,60606
331934,42,1908616,"THEORY, LLC",9 W HUBBARD ST 1,60610
460691,29,2803320,UNCLE REMUS SFC 1 LLC,1900 N AUSTIN AVE,60639
331934,42,1908617,"THEORY, LLC",9 W HUBBARD ST 1,60610
466449,42,2713266,"2446 W. FOSTER, LLC",161 N CLARK ST 16TH 1600,60601
425078,36,2796652,"BURLINGTON COAT FACTORY OF TEXAS, INC",1710 N KOSTNER AVE 1ST,60639
381498,25,2565150,XIAO BAI WANG,236 W ALEXANDER ST 1ST,60616
43951,44,67278,"ROCKBRIDGE MANAGEMENT, LTD.",3229 N CLARK ST 1ST,60657
41495,42,2807959,"TRAINING, RESEARCH, ADVOCACY & EDUCATION NETWORK, INC.",230 W SUPERIOR ST  500,60654
277997,27,1495002,"DOWNTOWN ENTERTAINMENT, LLC","213 W INSTITUTE PL LL, 1",60610
314440,14,2470119,TRETO PRODUCTS INC.,3838 W 51ST ST 1,60632
424823,2,2578909,Goodhart Group Corp.,1239 S MICHIGAN AVE  UNIT B,60605
369025,24,2708668,TAQUERIA LOS PATRONCITOS CO.,3233-3237 W CERMAK RD 1,60623
395513,34,2373969,CLEAROLIE PITTMAN JONES,320 W 110TH ST,60628
350607,40,2017617,"MY HOOKAH CAFE, INC.",5806 N LINCOLN AVE 1ST,60659
465835,27,2712252,"SW COSTOR GK, LLC",1001 N CONSHOHOCKEN STATE ST  600,19428
465860,2,2712351,ElevenEighteen Group LLC,1713 N CLYBOURN AVE 3RD 3,60614
464082,18,2698972,SOUTHERN OPEN KITCHEN LLC,7956 S ST LOUIS AVE,60652
466575,7,2713466,MARIE MYRTHA BRIETTE,9109 S COLFAX AVE,60617
466046,35,2712609,ACAL FOOD LLC,3246 W WELLINGTON AVE  1,60618
466058,9,2712622,MAJOR GRUB LLC,10235 S CALUMET AVE,60628
424802,9,2578888,COOK'E SOIREE GOURMET CATERING LLC,79 E 89TH ST,60619
465641,7,2709358,"STIRFRIEDSOULJBG, LLC",7307 S OGLESBY AVE  3N,60649
16125,50,2589079,QUANG RESTAURANT INC.,2916 W BIRCHWOOD AVE,60645
369025,24,2797666,TAQUERIA LOS PATRONCITOS CO.,2619 W 22ND PL 1ST,60608
34535,27,1514485,RTP INC,1249 N CLYBOURN AVE,60610
326484,18,2812977,RENEE ESTELLA WARREN,8355 S HAMILTON AVE,60620
368334,2,2130157,"RUNNING AWAY ENTERPRISES, LLC",2219-2221 N CLYBOURN AVE 1ST,60614
326254,2,1884701,"UNITED PATELS, INC.",70 W HURON ST 1,60654
326254,2,1884704,"UNITED PATELS, INC.",70 W HURON ST 1,60654
460691,29,2803321,UNCLE REMUS SFC 1 LLC,1900 N AUSTIN AVE,60639
326254,2,1884703,"UNITED PATELS, INC.",70 W HURON ST 1,60654
210821,42,2762198,111 W. HUBBARD PARTNERSHIP,111 W HUBBARD ST 1-4,60654
210821,42,2762199,111 W. HUBBARD PARTNERSHIP,111 W HUBBARD ST 1-4,60654
210821,42,2762200,111 W. HUBBARD PARTNERSHIP,111 W HUBBARD ST 1-4,60654
210821,42,2762203,111 W. HUBBARD PARTNERSHIP,111 W HUBBARD ST 1-4,60654
22688,40,76796,GURNAM MARATHON INC,2500 W PETERSON AVE 1ST,60659
210821,42,2762202,111 W. HUBBARD PARTNERSHIP,111 W HUBBARD ST 1-4,60654
403905,27,2813354,"PROJECT.INTERIORS, INC.",3146 W CHICAGO AVE,60622
402694,10,2437446,TAQUERIA EL TAQUIN INC.,13307-13309 S BRANDON AVE 1ST,60633
350517,22,2813697,MARIA EUGENIA AGUILAR,2855 S KARLOV AVE,60623
460691,29,2807980,UNCLE REMUS SFC 1 LLC,1900 N AUSTIN AVE,60639
466401,44,2713146,TMPL3 LLC,2825 N HALSTED ST 1ST 1S,60657
50161,42,2658673,"LUMA, LLC",410 N MICHIGAN AVE  CONCOURSE,60611
